fq_name	short_name	namespace	kind	module	source_file	evidence_class	api_status	type_summary	universe_params	canonical_owner	disposition	notes
LRA.Algebra.AlgebraicStructureDefinition.mk.noConfusion	noConfusion	LRA.Algebra.AlgebraicStructureDefinition.mk	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_companion	public	forall {P : Sort.{u_1}} {Carrier : Type.{u}} {structureData : Carrier -> Prop} {Carrier' : Type.{u}} {structureData' : Carrier' -> Prop}, (Eq.{succ (succ u)} LRA.Algebra.AlgebraicStructureDefinition.{u} (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier structureData) (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier' structureData')) -> ((Eq.{succ (succ u)} Type.{u} Carrier Carrier') -> (HEq.{succ u} (Carrier -> Prop) structureData (Carrier' -> Prop) structureData') -> P) -> P	u_1,u	LRA.Algebra.AlgebraicStructureDefinition.mk.noConfusion	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.mk.sizeOf_spec	sizeOf_spec	LRA.Algebra.AlgebraicStructureDefinition.mk	theorem	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall (Carrier : Type.{u}) (structureData : Carrier -> Prop), Eq.{1} Nat (SizeOf.sizeOf.{succ (succ u)} LRA.Algebra.AlgebraicStructureDefinition.{u} LRA.Algebra.AlgebraicStructureDefinition._sizeOf_inst.{u} (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier structureData)) (HAdd.hAdd.{0, 0, 0} Nat Nat Nat (instHAdd.{0} Nat instAddNat) (OfNat.ofNat.{0} Nat 1 (instOfNatNat 1)) (SizeOf.sizeOf.{succ (succ u)} Type.{u} (instSizeOfDefault.{succ (succ u)} Type.{u}) Carrier))	u	LRA.Algebra.AlgebraicStructureDefinition.mk.sizeOf_spec	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.noConfusion	noConfusion	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_companion	public	forall {P : Sort.{u_1}} {t : LRA.Algebra.AlgebraicStructureDefinition.{u}} {t' : LRA.Algebra.AlgebraicStructureDefinition.{u}}, (Eq.{succ (succ u)} LRA.Algebra.AlgebraicStructureDefinition.{u} t t') -> (LRA.Algebra.AlgebraicStructureDefinition.noConfusionType.{u_1, u} P t t')	u_1,u	LRA.Algebra.AlgebraicStructureDefinition.noConfusion	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.noConfusionType	noConfusionType	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_companion	public	Sort.{u_1} -> LRA.Algebra.AlgebraicStructureDefinition.{u} -> LRA.Algebra.AlgebraicStructureDefinition.{u} -> Sort.{u_1}	u_1,u	LRA.Algebra.AlgebraicStructureDefinition.noConfusionType	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.rec	rec	LRA.Algebra.AlgebraicStructureDefinition	recursor	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_recursor	public	forall {motive : LRA.Algebra.AlgebraicStructureDefinition.{u} -> Sort.{u_1}}, (forall (Carrier : Type.{u}) (structureData : Carrier -> Prop), motive (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier structureData)) -> (forall (t : LRA.Algebra.AlgebraicStructureDefinition.{u}), motive t)	u_1,u	LRA.Algebra.AlgebraicStructureDefinition.rec	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.recOn	recOn	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {motive : LRA.Algebra.AlgebraicStructureDefinition.{u} -> Sort.{u_1}} (t : LRA.Algebra.AlgebraicStructureDefinition.{u}), (forall (Carrier : Type.{u}) (structureData : Carrier -> Prop), motive (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier structureData)) -> (motive t)	u_1,u	LRA.Algebra.AlgebraicStructureDefinition.recOn	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.structureData	structureData	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_projection	public	forall (self : LRA.Algebra.AlgebraicStructureDefinition.{u}), (LRA.Algebra.AlgebraicStructureDefinition.Carrier.{u} self) -> Prop	u	LRA.Algebra.AlgebraicStructureDefinition.structureData	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition	FieldDefinition	LRA.Algebra	inductive	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	authored	public	Type.{u} -> Type.{u}	u	LRA.Algebra.FieldDefinition	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition._sizeOf_1	_sizeOf_1	LRA.Algebra.FieldDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {K : Type.{u}} [inst._@.LRA.VolumeVI.AbstractAlgebra.Foundations.Structures.2295622484._hygCtx._hyg.47 : SizeOf.{succ u} K], (LRA.Algebra.FieldDefinition.{u} K) -> Nat	u	LRA.Algebra.FieldDefinition._sizeOf_1	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition._sizeOf_inst	_sizeOf_inst	LRA.Algebra.FieldDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall (K : Type.{u}) [inst._@.LRA.VolumeVI.AbstractAlgebra.Foundations.Structures.2295622484._hygCtx._hyg.48 : SizeOf.{succ u} K], SizeOf.{succ u} (LRA.Algebra.FieldDefinition.{u} K)	u	LRA.Algebra.FieldDefinition._sizeOf_inst	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.casesOn	casesOn	LRA.Algebra.FieldDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {K : Type.{u}} {motive : (LRA.Algebra.FieldDefinition.{u} K) -> Sort.{u_1}} (t : LRA.Algebra.FieldDefinition.{u} K), (forall (toRingDefinition : LRA.Algebra.RingDefinition.{u} K) (inv : K -> K) (mul_comm : forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition b a)) (inv_mul_cancel : forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition)) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition (inv a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition))), motive (LRA.Algebra.FieldDefinition.mk.{u} K toRingDefinition inv mul_comm inv_mul_cancel)) -> (motive t)	u_1,u	LRA.Algebra.FieldDefinition.casesOn	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.ctorIdx	ctorIdx	LRA.Algebra.FieldDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {K : Type.{u}}, (LRA.Algebra.FieldDefinition.{u} K) -> Nat	u	LRA.Algebra.FieldDefinition.ctorIdx	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.inv	inv	LRA.Algebra.FieldDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_projection	public	forall {K : Type.{u}}, (LRA.Algebra.FieldDefinition.{u} K) -> K -> K	u	LRA.Algebra.FieldDefinition.inv	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.inv_mul_cancel	inv_mul_cancel	LRA.Algebra.FieldDefinition	theorem	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_projection	public	forall {K : Type.{u}} (self : LRA.Algebra.FieldDefinition.{u} K) (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K (LRA.Algebra.FieldDefinition.toRingDefinition.{u} K self))) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K (LRA.Algebra.FieldDefinition.toRingDefinition.{u} K self) (LRA.Algebra.FieldDefinition.inv.{u} K self a) a) (LRA.Algebra.RingDefinition.one.{u} K (LRA.Algebra.FieldDefinition.toRingDefinition.{u} K self)))	u	LRA.Algebra.FieldDefinition.inv_mul_cancel	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.mk	mk	LRA.Algebra.FieldDefinition	constructor	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_constructor	public	forall {K : Type.{u}} (toRingDefinition : LRA.Algebra.RingDefinition.{u} K) (inv : K -> K), (forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition b a)) -> (forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition)) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition (inv a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition))) -> (LRA.Algebra.FieldDefinition.{u} K)	u	LRA.Algebra.FieldDefinition.mk	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.mk._flat_ctor	_flat_ctor	LRA.Algebra.FieldDefinition.mk	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {K : Type.{u}} (zero : K) (add : K -> K -> K) (neg : K -> K) (one : K) (mul : K -> K -> K), (forall (a : K) (b : K) (c : K), Eq.{succ u} K (add (add a b) c) (add a (add b c))) -> (forall (a : K) (b : K), Eq.{succ u} K (add a b) (add b a)) -> (forall (a : K), Eq.{succ u} K (add zero a) a) -> (forall (a : K), Eq.{succ u} K (add (neg a) a) zero) -> (forall (a : K) (b : K) (c : K), Eq.{succ u} K (mul (mul a b) c) (mul a (mul b c))) -> (forall (a : K), Eq.{succ u} K (mul one a) a) -> (forall (a : K), Eq.{succ u} K (mul a one) a) -> (forall (a : K) (b : K) (c : K), Eq.{succ u} K (mul a (add b c)) (add (mul a b) (mul a c))) -> (forall (a : K) (b : K) (c : K), Eq.{succ u} K (mul (add a b) c) (add (mul a c) (mul b c))) -> (forall (inv : K -> K), (forall (a : K) (b : K), Eq.{succ u} K (mul a b) (mul b a)) -> (forall (a : K), (Ne.{succ u} K a zero) -> (Eq.{succ u} K (mul (inv a) a) one)) -> (LRA.Algebra.FieldDefinition.{u} K))	u	LRA.Algebra.FieldDefinition.mk._flat_ctor	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.mk.inj	inj	LRA.Algebra.FieldDefinition.mk	theorem	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {K : Type.{u}} {toRingDefinition : LRA.Algebra.RingDefinition.{u} K} {inv : K -> K} {mul_comm : forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition b a)} {inv_mul_cancel : forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition)) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition (inv a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition))} {toRingDefinition_1 : LRA.Algebra.RingDefinition.{u} K} {inv_1 : K -> K} {mul_comm_1 : forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition_1 a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition_1 b a)} {inv_mul_cancel_1 : forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition_1)) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition_1 (inv_1 a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition_1))}, (Eq.{succ u} (LRA.Algebra.FieldDefinition.{u} K) (LRA.Algebra.FieldDefinition.mk.{u} K toRingDefinition inv mul_comm inv_mul_cancel) (LRA.Algebra.FieldDefinition.mk.{u} K toRingDefinition_1 inv_1 mul_comm_1 inv_mul_cancel_1)) -> (And (Eq.{succ u} (LRA.Algebra.RingDefinition.{u} K) toRingDefinition toRingDefinition_1) (Eq.{succ u} (K -> K) inv inv_1))	u	LRA.Algebra.FieldDefinition.mk.inj	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.mk.injEq	injEq	LRA.Algebra.FieldDefinition.mk	theorem	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {K : Type.{u}} (toRingDefinition : LRA.Algebra.RingDefinition.{u} K) (inv : K -> K) (mul_comm : forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition b a)) (inv_mul_cancel : forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition)) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition (inv a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition))) (toRingDefinition_1 : LRA.Algebra.RingDefinition.{u} K) (inv_1 : K -> K) (mul_comm_1 : forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition_1 a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition_1 b a)) (inv_mul_cancel_1 : forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition_1)) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition_1 (inv_1 a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition_1))), Eq.{1} Prop (Eq.{succ u} (LRA.Algebra.FieldDefinition.{u} K) (LRA.Algebra.FieldDefinition.mk.{u} K toRingDefinition inv mul_comm inv_mul_cancel) (LRA.Algebra.FieldDefinition.mk.{u} K toRingDefinition_1 inv_1 mul_comm_1 inv_mul_cancel_1)) (And (Eq.{succ u} (LRA.Algebra.RingDefinition.{u} K) toRingDefinition toRingDefinition_1) (Eq.{succ u} (K -> K) inv inv_1))	u	LRA.Algebra.FieldDefinition.mk.injEq	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.mk.noConfusion	noConfusion	LRA.Algebra.FieldDefinition.mk	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_companion	public	forall {K : Type.{u}} {P : Sort.{u_1}} {toRingDefinition : LRA.Algebra.RingDefinition.{u} K} {inv : K -> K} {mul_comm : forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition b a)} {inv_mul_cancel : forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition)) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition (inv a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition))} {toRingDefinition' : LRA.Algebra.RingDefinition.{u} K} {inv' : K -> K} {mul_comm' : forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition' a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition' b a)} {inv_mul_cancel' : forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition')) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition' (inv' a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition'))}, (Eq.{succ u} (LRA.Algebra.FieldDefinition.{u} K) (LRA.Algebra.FieldDefinition.mk.{u} K toRingDefinition inv mul_comm inv_mul_cancel) (LRA.Algebra.FieldDefinition.mk.{u} K toRingDefinition' inv' mul_comm' inv_mul_cancel')) -> ((HEq.{succ u} (LRA.Algebra.RingDefinition.{u} K) toRingDefinition (LRA.Algebra.RingDefinition.{u} K) toRingDefinition') -> (HEq.{succ u} (K -> K) inv (K -> K) inv') -> P) -> P	u_1,u	LRA.Algebra.FieldDefinition.mk.noConfusion	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.mk.sizeOf_spec	sizeOf_spec	LRA.Algebra.FieldDefinition.mk	theorem	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {K : Type.{u}} [inst._@.LRA.VolumeVI.AbstractAlgebra.Foundations.Structures.2295622484._hygCtx._hyg.49 : SizeOf.{succ u} K] (toRingDefinition : LRA.Algebra.RingDefinition.{u} K) (inv : K -> K) (mul_comm : forall (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition a b) (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition b a)) (inv_mul_cancel : forall (a : K), (Ne.{succ u} K a (LRA.Algebra.RingDefinition.zero.{u} K toRingDefinition)) -> (Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K toRingDefinition (inv a) a) (LRA.Algebra.RingDefinition.one.{u} K toRingDefinition))), Eq.{1} Nat (SizeOf.sizeOf.{succ u} (LRA.Algebra.FieldDefinition.{u} K) (LRA.Algebra.FieldDefinition._sizeOf_inst.{u} K inst._@.LRA.VolumeVI.AbstractAlgebra.Foundations.Structures.2295622484._hygCtx._hyg.49) (LRA.Algebra.FieldDefinition.mk.{u} K toRingDefinition inv mul_comm inv_mul_cancel)) (HAdd.hAdd.{0, 0, 0} Nat Nat Nat (instHAdd.{0} Nat instAddNat) (OfNat.ofNat.{0} Nat 1 (instOfNatNat 1)) (SizeOf.sizeOf.{succ u} (LRA.Algebra.RingDefinition.{u} K) (LRA.Algebra.RingDefinition._sizeOf_inst.{u} K inst._@.LRA.VolumeVI.AbstractAlgebra.Foundations.Structures.2295622484._hygCtx._hyg.49) toRingDefinition))	u	LRA.Algebra.FieldDefinition.mk.sizeOf_spec	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.mul_comm	mul_comm	LRA.Algebra.FieldDefinition	theorem	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_projection	public	forall {K : Type.{u}} (self : LRA.Algebra.FieldDefinition.{u} K) (a : K) (b : K), Eq.{succ u} K (LRA.Algebra.RingDefinition.mul.{u} K (LRA.Algebra.FieldDefinition.toRingDefinition.{u} K self) a b) (LRA.Algebra.RingDefinition.mul.{u} K (LRA.Algebra.FieldDefinition.toRingDefinition.{u} K self) b a)	u	LRA.Algebra.FieldDefinition.mul_comm	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.noConfusion	noConfusion	LRA.Algebra.FieldDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_companion	public	forall {P : Sort.{u_1}} {K : Type.{u}} {t : LRA.Algebra.FieldDefinition.{u} K} {K' : Type.{u}} {t' : LRA.Algebra.FieldDefinition.{u} K'}, (Eq.{succ (succ u)} Type.{u} K K') -> (HEq.{succ u} (LRA.Algebra.FieldDefinition.{u} K) t (LRA.Algebra.FieldDefinition.{u} K') t') -> (LRA.Algebra.FieldDefinition.noConfusionType.{u_1, u} P K t K' t')	u_1,u	LRA.Algebra.FieldDefinition.noConfusion	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.FieldDefinition.noConfusionType	noConfusionType	LRA.Algebra.FieldDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_companion	public	Sort.{u_1} -> (forall {K : Type.{u}}, (LRA.Algebra.FieldDefinition.{u} K) -> (forall {K' : Type.{u}}, (LRA.Algebra.FieldDefinition.{u} K') -> Sort.{u_1}))	u_1,u	LRA.Algebra.FieldDefinition.noConfusionType	KEEP	compiled environment plus reconciled source scan
